METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Date,2025-09-25T06:54:06.690Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Stages,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stages,BOOMS;SIP1;SIP1A;SIP2;SIP3;SIP4;RR;UVI;SIP5;FTEST;LECREC;CT;UV2;CABWT;SIP6;CFC;CABSIP;UV3;SIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Inspections,248986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Faults,203661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average DPU,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range,Jan-25 to Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTHLY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Total Inspections,Total Faults,Total DPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-25,24446,28460,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-25,25683,26647,17.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-25,29587,23926,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-25,30023,22371,13.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-25,27450,22192,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-25,34933,25665,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-25,22350,16401,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-25,27196,19559,13.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-25,27318,18440,12.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETAILED STAGE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,BOOMS Inspected,BOOMS Faults,BOOMS DPU,SIP1 Inspected,SIP1 Faults,SIP1 DPU,SIP1A Inspected,SIP1A Faults,SIP1A DPU,SIP2 Inspected,SIP2 Faults,SIP2 DPU,SIP3 Inspected,SIP3 Faults,SIP3 DPU,SIP4 Inspected,SIP4 Faults,SIP4 DPU,RR Inspected,RR Faults,RR DPU,UVI Inspected,UVI Faults,UVI DPU,SIP5 Inspected,SIP5 Faults,SIP5 DPU,FTEST Inspected,FTEST Faults,FTEST DPU,LECREC Inspected,LECREC Faults,LECREC DPU,CT Inspected,CT Faults,CT DPU,UV2 Inspected,UV2 Faults,UV2 DPU,CABWT Inspected,CABWT Faults,CABWT DPU,SIP6 Inspected,SIP6 Faults,SIP6 DPU,CFC Inspected,CFC Faults,CFC DPU,CABSIP Inspected,CABSIP Faults,CABSIP DPU,UV3 Inspected,UV3 Faults,UV3 DPU,SIGN Inspected,SIGN Faults,SIGN DPU,Total Inspected,Total Faults,Total DPU
Jan-25,1446,1018,0.7,1468,606,0.41,1466,620,0.42,1459,845,0.58,1461,1858,1.27,1461,1514,1.04,1451,319,0.22,1451,167,0.12,1442,2585,1.79,1440,713,0.5,1439,41,0.03,1420,1518,1.07,1415,392,0.28,1415,42,0.03,1394,3591,2.58,1384,12630,9.13,0,0,0,0,0,0,1434,1,0,24446,28460,20.17
Feb-25,1509,1074,0.71,1497,524,0.35,1499,441,0.29,1501,811,0.54,1489,1706,1.14,1501,1232,0.82,1497,271,0.18,1497,127,0.08,1506,2379,1.58,1505,625,0.42,1506,36,0.02,1506,1429,0.95,1510,252,0.17,1510,52,0.03,1525,3519,2.31,1527,12169,7.97,89,0,0,0,0,0,1499,0,0,25683,26647,17.56
Mar-25,1686,1029,0.61,1693,477,0.28,1693,469,0.28,1690,1004,0.59,1687,2034,1.21,1690,1213,0.72,1697,301,0.18,1697,113,0.07,1687,1954,1.16,1685,698,0.41,1684,15,0.01,1679,1525,0.91,1680,241,0.14,1680,69,0.04,1683,4171,2.48,1695,8613,5.08,875,0,0,0,0,0,1706,0,0,29587,23926,14.17
Apr-25,1672,915,0.55,1672,754,0.45,1672,485,0.29,1674,1540,0.92,1674,2079,1.24,1673,1261,0.75,1668,333,0.2,1667,124,0.07,1665,2416,1.45,1668,764,0.46,1666,9,0.01,1665,1584,0.95,1662,246,0.15,1661,41,0.02,1653,3883,2.35,1651,5936,3.6,1684,1,0,0,0,0,1676,0,0,30023,22371,13.46
May-25,1525,888,0.58,1524,1129,0.74,1530,728,0.48,1520,1201,0.79,1523,2334,1.53,1518,1425,0.94,1513,288,0.19,1514,106,0.07,1515,3337,2.2,1514,816,0.54,1516,18,0.01,1539,1958,1.27,1540,321,0.21,1541,47,0.03,1540,3947,2.56,1559,3642,2.34,1518,6,0,0,0,0,1501,1,0,27450,22192,14.48
Jun-25,1941,991,0.51,1944,1085,0.56,1943,683,0.35,1942,1645,0.85,1939,2864,1.48,1943,1856,0.96,1952,660,0.34,1952,142,0.07,1951,3511,1.8,1949,1194,0.61,1948,18,0.01,1922,2355,1.23,1922,250,0.13,1921,39,0.02,1923,4231,2.2,1925,4140,2.15,1948,1,0,0,0,0,1968,0,0,34933,25665,13.27
Jul-25,1247,593,0.48,1241,634,0.51,1241,395,0.32,1242,1038,0.84,1243,1560,1.21,1241,1269,1.02,1238,476,0.38,1238,101,0.08,1236,2842,1.89,1237,729,0.59,1239,6,0,1252,1456,1.16,1250,189,0.15,1251,48,0.04,1252,3105,2.48,1252,2518,2.01,1236,1,0,0,0,0,1214,0,0,22350,16401,13.16
Aug-25,1440,595,0.41,1451,740,0.51,1425,565,0.4,1427,1337,0.87,1429,1926,1.13,1426,1902,1.33,1436,504,0.35,1436,163,0.11,1450,2516,1.74,1452,777,0.54,1449,4,0,1441,1835,1.27,1443,309,0.21,1443,44,0.03,1426,3252,2.28,1429,3417,2.39,1438,0,0,1333,73,0.05,1422,1,0,27196,19559,13.62
Sep-25,1434,576,0.4,1443,629,0.44,1444,662,0.46,1442,1069,0.74,1442,1406,0.98,1444,1392,0.96,1432,333,0.23,1432,131,0.09,1422,2556,1.8,1420,706,0.5,1419,1,0,1432,1904,1.33,1427,235,0.16,1427,40,0.03,1443,3453,2.39,1416,3101,2.19,1443,5,0,1441,240,0.17,1515,0,0,27318,18440,12.87
